STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WT09,WT07,WT01,WT06,WT05,WT02,WT04,WT16,WT08,WT18,WT03,WT10
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450426,0.00,-9999,0.0,-9999,68,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450427,0.00,-9999,0.0,-9999,69,45,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450428,0.00,-9999,0.0,-9999,69,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450429,0.00,-9999,0.0,-9999,78,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450430,0.01,-9999,0.0,-9999,79,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450501,-9999,-9999,-9999,-9999,84,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450502,-9999,-9999,-9999,-9999,89,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450503,0.01,-9999,-9999,-9999,89,49,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450504,-9999,-9999,-9999,-9999,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450505,-9999,-9999,-9999,-9999,88,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450506,-9999,-9999,-9999,-9999,82,54,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450507,-9999,-9999,-9999,-9999,82,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450508,-9999,-9999,-9999,-9999,84,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450509,0.00,-9999,-9999,-9999,82,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450510,0.00,-9999,-9999,-9999,71,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450511,0.00,-9999,-9999,-9999,65,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450512,0.18,-9999,-9999,-9999,60,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450513,0.01,-9999,-9999,-9999,67,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450514,0.00,-9999,-9999,-9999,71,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450515,0.05,-9999,-9999,-9999,71,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450516,0.49,-9999,-9999,-9999,60,50,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450517,0.00,-9999,-9999,-9999,68,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450518,-9999,-9999,-9999,-9999,71,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450519,0.13,-9999,-9999,-9999,70,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450520,0.00,-9999,-9999,-9999,71,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450521,0.00,-9999,-9999,-9999,71,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450522,0.00,-9999,-9999,-9999,77,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450523,-9999,-9999,-9999,-9999,72,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450524,-9999,-9999,-9999,-9999,71,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450525,-9999,-9999,-9999,-9999,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450526,0.08,-9999,-9999,-9999,77,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450527,0.02,-9999,-9999,-9999,76,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450528,-9999,-9999,-9999,-9999,86,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,131.1,46.23333,-119.11667,19450529,-9999,-9999,-9999,-9999,89,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
